Delegacia,Ano,Mês,Total de Ocorrências
DEL.INV.M.AMB.CARAPICUIBA,2021,Julho,3
DEL.INV.M.AMB.GUARULHOS,2021,Junho,3
DEL.INV.M.AMB.TABOAO SERRA,2023,Fevereiro,3
DEL.INV.M.AMB.GUARULHOS,2020,Fevereiro,3
DEL.POL.ILHA COMPRIDA,2021,Abril,3
DIIMA - 01ª DEL.POL.,2020,Janeiro,3
DIIMA - 02ª DEL.POL.,2020,Abril,3
DIIMA - 02ª DEL.POL.,2019,Julho,3
DIIMA - 02ª DEL.POL.,2019,Fevereiro,3
DIIMA - 01ª DEL.POL.,2023,Junho,3
DIIMA - 01ª DEL.POL.,2022,Janeiro,3
DIIMA - 02ª DEL.POL.,2019,Junho,3
DEL.POL.ILHABELA,2023,Junho,3
DEL.POL.ILHABELA,2023,Março,3
DIIMA - 02ª DEL.POL.,2023,Maio,3
DIIMA - 02ª DEL.POL.,2023,Junho,3
DIIMA - 02ª DEL.POL.,2023,Fevereiro,3
DEL.POL.ILHA COMPRIDA,2022,Maio,3
DEL.POL.ILHA COMPRIDA,2022,Março,3
DEL.POL.ILHABELA,2022,Maio,3
DEL.POL.ILHABELA,2021,Fevereiro,3
DEL.POL.ILHABELA,2022,Abril,3
DIIMA - 02ª DEL.POL.,2022,Janeiro,3
DIIMA - 02ª DEL.POL.,2021,Março,3
DIIMA - 01ª DEL.POL.,2021,Fevereiro,2
DIIMA - 01ª DEL.POL.,2020,Maio,2
DIIMA - 01ª DEL.POL.,2021,Junho,2
DIIMA - 01ª DEL.POL.,2023,Janeiro,2
DEL.POL.ILHA COMPRIDA,2023,Março,2
DIIMA - 01ª DEL.POL.,2023,Fevereiro,2
DEL.POL.ILHABELA,2022,Março,2
DIIMA - 01ª DEL.POL.,2022,Junho,2
DIIMA - 01ª DEL.POL.,2022,Abril,2
DEL.POL.UBATUBA,2019,Julho,2
DIIMA - 01ª DEL.POL.,2022,Março,2
DIIMA - 02ª DEL.POL.,2023,Março,2
DEL.INV.M.AMB.CARAPICUIBA,2020,Abril,2
DEL.INV.M.AMB.GUARULHOS,2023,Junho,2
DEL.INV.M.AMB.GUARULHOS,2023,Julho,2
DEL.INV.M.AMB.GUARULHOS,2019,Março,2
DEL.INV.M.AMB.CARAPICUIBA,2022,Maio,2
DEL.POL.IGUAPE,2023,Julho,2
DEL.POL.IGUAPE,2023,Junho,2
DEL.POL.ILHA COMPRIDA,2019,Maio,2
DEL.POL.ILHA COMPRIDA,2019,Março,2
DEL.POL.ILHA COMPRIDA,2020,Julho,2
DIIMA - 02ª DEL.POL.,2022,Julho,2
DEL.POL.IGUAPE,2021,Fevereiro,2
DIIMA - 02ª DEL.POL.,2019,Janeiro,1
DIIMA - 02ª DEL.POL.,2023,Janeiro,1
DIIMA - 02ª DEL.POL.,2022,Abril,1
DIIMA - 02ª DEL.POL.,2019,Maio,1
DIIMA - 01ª DEL.POL.,2021,Abril,1
DIIMA - 01ª DEL.POL.,2020,Junho,1
DEL.POL.UBATUBA,2023,Julho,1
DEL.POL.UBATUBA,2023,Abril,1
DEL.POL.UBATUBA,2022,Abril,1
DEL.POL.UBATUBA,2020,Maio,1
DEL.POL.UBATUBA,2020,Janeiro,1
DEL.POL.UBATUBA,2020,Abril,1
DEL.POL.UBATUBA,2019,Março,1
DEL.INV.M.AMB.GUARULHOS,2023,Março,1
DEL.INV.M.AMB.GUARULHOS,2023,Janeiro,1
DEL.INV.M.AMB.GUARULHOS,2023,Abril,1
DEL.INV.M.AMB.GUARULHOS,2022,Março,1
DEL.INV.M.AMB.GUARULHOS,2022,Julho,1
DEL.INV.M.AMB.GUARULHOS,2022,Janeiro,1
DEL.INV.M.AMB.GUARULHOS,2022,Abril,1
DEL.INV.M.AMB.GUARULHOS,2020,Maio,1
DEL.INV.M.AMB.GUARULHOS,2020,Janeiro,1
DEL.INV.M.AMB.GUARULHOS,2020,Abril,1
